Index;Unit;Question_Number;Type_of_Question;Question;Answer;Distractor1;Distractor2;Distractor3
468;47. Hardware needed to connect to a LAN;7;Multiple choice;The following device allows different LANs to connect to each other:;Gateway;Switch;Hub;
469;47. Hardware needed to connect to a LAN;8;True or False;Wired networks are faster than wireless.;TRUE;;;
470;47. Hardware needed to connect to a LAN;9;True or False;Firewall makes sure the packets are sent to the right destination and protects them while they are on their way.;FALSE;;;
471;47. Hardware needed to connect to a LAN;10;Multiple choice;The following device assigns unique IP addresses to computers on a LAN:;Router;Gateway;Firewall;Hub
472;48. Client servers and peer to peer networks;1;True or False;A peer to peer network always has a central server;FALSE;;;
473;48. Client servers and peer to peer networks;2;True or False;In a client server network, all clients are equally powerful.;FALSE;;;
474;48. Client servers and peer to peer networks;3;True or False;A peer to peer network is a network arrangement where all of the computers are equal.;TRUE;;;
475;48. Client servers and peer to peer networks;4;Multiple choice;Which one of these items is not an advantage of a client-server network?;No central point of failure;Central control of security;Easier to supervise network performance;Easier to perform software upgrades
476;48. Client servers and peer to peer networks;5;Multiple choice;Which one of these items is true of a peer-to-peer network?;No network wide security in place;Central control of security;Has a central point of failure;Easier to perform network wide backups
477;48. Client servers and peer to peer networks;6;True or False;A client-server network allows people to save their data centrally.;TRUE;;;
478;48. Client servers and peer to peer networks;7;True or False;In a peer-to-peer network you can have a server.;TRUE;;;
479;48. Client servers and peer to peer networks;8;True or False;In a peer-to-peer network everyone has control over their own machine.;TRUE;;;
480;48. Client servers and peer to peer networks;9;True or False;In a peer-to-peer network you must have a network administrator.;FALSE;;;
481;48. Client servers and peer to peer networks;10;Multiple choice;Which one of these items is true of a client-server network?;Needs a network manager to run the network;No centralised management;All computers have equal status;No dependency on a server
482;49. Topologies;1;Text and Image multiple choice;Click on the Bus network topology;;;;
483;49. Topologies;2;Text and Image multiple choice;Click on the Star network topology;;;;
484;49. Topologies;3;Text and Image multiple choice;Click on the Ring network topology;;;;
485;49. Topologies;4;True or False;In a ring network, if one computer fails, they all fail.;FALSE;;;
486;49. Topologies;5;Multiple choice;Which network would suffer a decrease in performance across the whole network if there was a break in one cable?;Ring;Bus;Star;
487;49. Topologies;6;Multiple choice;Which network topology uses a backbone to connect all of the computers?;Bus;Ring;Star;
488;49. Topologies;7;Multiple choice;"""When data is sent, it is sent to all of the computers on the network"" - which network topology is this describing?";Bus;Ring;Star;
489;49. Topologies;8;Multiple choice;Which network topology is the most common way of setting up a network?;Star;Ring;Bus;
490;49. Topologies;9;Multiple choice;Which network topology is the hardest to add a new computer to?;Ring;Star;Bus;
491;49. Topologies;10;Multiple choice;Which network topology has a central point of failure?;Star;Ring;Bus;
492;50. Differences between a LAN and a WAN;1;Multiple choice;LAN stands for;Local Area Network;Large Area Network;Little Area Network;Local Analogue Network
493;50. Differences between a LAN and a WAN;2;Multiple choice;WAN stands for;Wide Area Network;Wise Area Network;Wireless Area Network;Wired Area Network
494;50. Differences between a LAN and a WAN;3;True or False;A LAN can span several sites over a global area;FALSE;;;
495;50. Differences between a LAN and a WAN;4;True or False;A WAN is a network within one building;FALSE;;;
496;50. Differences between a LAN and a WAN;5;True or False;To connect a LAN to another LAN a WAN could be used;TRUE;;;
497;50. Differences between a LAN and a WAN;6;True or False;A WAN can spread over a vast area and include several LANs;TRUE;;;
498;50. Differences between a LAN and a WAN;7;Multiple choice;Which one of these items describes a LAN?;A computer network covering a small geographic area, like a home, office, school, or group of buildings.;A computer network that covers a broad area (e.g. any network whose communications links cross metropolitan, regional, or national boundaries over a long distance).;;
499;50. Differences between a LAN and a WAN;8;True or False;A network with over 500 computers connected is considered to be a WAN;FALSE;;;
500;50. Differences between a LAN and a WAN;9;Multiple choice;Which one is true of a WAN?;Can span two countries;Is completely secure;Has over 500 devices connected to it;Is very fast
501;50. Differences between a LAN and a WAN;10;True or False;A network is described as a WAN or a LAN based on the geographical spread of the network;TRUE;;;
502;51. IP addressing, MAC addressing, packets and protocols;1;Multiple choice;IP stands for;Internet Protocol;Intellectual Protocol;Internet Property;Information Protocol
503;51. IP addressing, MAC addressing, packets and protocols;2;Multiple choice;MAC stands for;Media Access Control;Machine Access Control;Machine Address Control;Media Access Computer
504;51. IP addressing, MAC addressing, packets and protocols;3;True or False;Each physical interface connected to a network has a unique MAC address;TRUE;;;
505;51. IP addressing, MAC addressing, packets and protocols;4;True or False;Each MAC adress is unique;TRUE;;;
506;51. IP addressing, MAC addressing, packets and protocols;5;True or False;An IP address is allocated to each computer in the warehouse when it is built;FALSE;;;
507;51. IP addressing, MAC addressing, packets and protocols;6;Multiple choice;Which item is not a protocol?;MAC;IMAC;POP3;HTTP
508;51. IP addressing, MAC addressing, packets and protocols;7;Multiple choice;An FTP protocol is used for;Copying files from one host to another;Distributing web pages;Accessing emails;Creating secure communications
509;51. IP addressing, MAC addressing, packets and protocols;8;Multiple choice;Which protocol is a cryptographic protocol designed for secure communications?;TLS/SSL;FTP;HTTP;POP3
510;51. IP addressing, MAC addressing, packets and protocols;9;Multiple choice;A typical IP address looks like this;192.168.2.1;H72Wd9;1011010;www.youtube.com
511;51. IP addressing, MAC addressing, packets and protocols;10;True or False;The internet uses packet switching, meaning that data is sent as bundles of data called packets.;TRUE;;;
512;52. Security measures;1;Multiple choice;Which of the following can be used to protect a network?;Firewall;Blocker;Server;Client
513;52. Security measures;2;True or False;Wireless networks are more secure than wired ones?;FALSE;;;
514;52. Security measures;3;Multiple choice;Which of the following is a type of wireless encryption?;WPS;WWW;WWF;WSS
515;52. Security measures;4;Multiple choice;Traffic can be secured over a network by applying what?;Encryption;Hashing;CRC;IP addressing
516;52. Security measures;5;True or False;Secure clients on a network respond to every request they receive.;FALSE;;;
517;52. Security measures;6;True or False;Using passwords makes communication over a network perfectly secure.;FALSE;;;
518;52. Security measures;7;True or False;PGP cannot be cracked.;FALSE;;;
519;52. Security measures;8;Multiple choice;What is not a good way of securing a wireless network?;Automatically allocate IP addresses.;Disable SSID.;Turn on wireless security protocols.;Enable MAC filtering.
520;52. Security measures;9;True or False;The most secure network is one that is not connected to the internet.;TRUE;;;
521;52. Security measures;10;True or False;A router has to respond to ping requests by law.;FALSE;;;
522;53. Network policies;1;True or False;Network policies don't apply to users if they don't read them.;FALSE;;;
523;53. Network policies;2;True or False;If you don't own the network you can do what you want on it including breaking the law.;FALSE;;;
524;53. Network policies;3;True or False;Network policies stop you going on any websites other than those approved by the administrator.;FALSE;;;
525;53. Network policies;4;Multiple choice;What is likely to be covered in a network policy?;Rules for chosing passwords.;Lists of website you are allowed on.;Passwords for the network.;Conditions where the policy won't apply.
526;53. Network policies;5;True or False;Connecting to an open internet connection is illegal if you don't have permission to connect.;TRUE;;;
527;53. Network policies;6;Multiple choice;Which of the following is not covered in a network policy?;Who can't access the network.;Password guidelines.;Accepted methods of connection.;How the network is monitored.
528;53. Network policies;7;True or False;Not understanding the terms of a network policy means you can't get into trouble through misuse.;FALSE;;;
529;53. Network policies;8;True or False;Network policies contain information about the actions the providers of the network will take upon its misuse.;TRUE;;;
530;53. Network policies;9;True or False;You can lose your job if you misuse your company's network.;TRUE;;;
531;53. Network policies;10;True or False;Companies don't need network policies.;FALSE;;;
532;54. The internet and hardware;1;True or False;The internet is a network of networks.;TRUE;;;
533;54. The internet and hardware;2;Multiple choice;Which of the following items of hardware connects different networks together?;Router;Server;Dongle;Firewall
534;54. The internet and hardware;3;True or False;There is only one path between different countries connected to the internet.;FALSE;;;
535;54. The internet and hardware;4;Multiple choice;Which of the following locates resources on the internet?;IP addresses;Computer names;WPA codes;
536;54. The internet and hardware;5;True or False;The internet allways sends traffic along the shortest possible path.;FALSE;;;
537;54. The internet and hardware;6;Multiple choice;Which of the following is an example of a generic top level internet domain?;com;ac;co;sch
538;54. The internet and hardware;7;True or False;You always need a URL to access a website.;FALSE;;;
539;54. The internet and hardware;8;Multiple choice;Which country controls the internet?;No one country.;USA;Russia;China
540;54. The internet and hardware;9;True or False;You can't block information from other countries on the internet.;FALSE;;;
541;54. The internet and hardware;10;True or False;The internet can never break.;FALSE;;;
542;55. IP addressing of resources;1;Multiple choice;Which of the following IP addresses are valid?;101.167.43.254;101.167.43.256;101.167.43.10.56;1031.167.43.10
543;55. IP addressing of resources;2;Multiple choice;Which of the following is not a private IP address?;78.0.0.1;10.0.0.1;172.16.0.1;192.168.0.1
544;55. IP addressing of resources;3;True or False;There are enough IPv4 addresses that will ever be needed;FALSE;;;
545;55. IP addressing of resources;4;True or False;The latest revision of IP addressing is v6.;TRUE;;;
546;55. IP addressing of resources;5;True or False;IP addresses can never be changed.;FALSE;;;
547;55. IP addressing of resources;6;Multiple choice;Which technology allows the assignment of IP addresses?;DHCP;OSPF;MAC;DNS
548;55. IP addressing of resources;7;True or False;No users need static IP addresses.;FALSE;;;
549;55. IP addressing of resources;8;Multiple choice;What does DHCP also provide in addition to IP addresses?;Subnet mask.;Host name.;Location of the interent.;Wireless passwords.
550;55. IP addressing of resources;9;True or False;When you connect to an ISP you will always get the same IP address.;FALSE;;;
551;55. IP addressing of resources;10;Multiple choice;What technology allows the sharing of public IP addresses across many private clients?;NAT;DHCP;DNS;HTTP
552;56. The importance of HTML;1;True or False;The World Wide Web is made up of documents written in HTML;TRUE;;;
553;56. The importance of HTML;2;Multiple choice;HTML stands for;HyperText Markup Language;HyperText Madeup Language;Hyper Transfer Markup Language;Huge Text Markup Language
554;56. The importance of HTML;3;True or False;HTML is made up of text enclosed in tags;TRUE;;;
555;56. The importance of HTML;4;Multiple choice;The following part of an HTML document is only visible to the browser, not user:;Head;Body;Style;
556;56. The importance of HTML;5;True or False;HTML tags usually come in pairs;TRUE;;;
557;56. The importance of HTML;6;True or False;HTML tags always come in pairs;FALSE;;;
558;56. The importance of HTML;7;Text and Image multiple choice;Which one is HTML code?;;;;
559;56. The importance of HTML;8;Multiple choice;What does the p tag do in HTML?;Define a paragraph;Define a bullet point list;Change the webpage title;Define a new image
560;56. The importance of HTML;9;True or False;HTML (the Hypertext Markup Language) and CSS (Cascading Style Sheets) are two of the core technologies used for building Web pages;TRUE;;;
561;56. The importance of HTML;10;Multiple choice;HTML is;The language for describing the structure of Web pages.;The way to connect two devices together;A method of data transfer;Used within spreadsheets
562;57. Common file standards and compressing files;1;Multiple choice;Which of the following file standards is used for images?;JPEG;PDF;PPT;PY
563;57. Common file standards and compressing files;2;Multiple choice;Which of the following file standards is used for music files?;MP3;GIF;DOCX;OBJ
564;57. Common file standards and compressing files;3;True or False;Compressing files reduces transfer time.;TRUE;;;
565;57. Common file standards and compressing files;4;Multiple choice;Which of the following file types is an example of a compressed archive?;ZIP;WAV;BMP;CO
566;57. Common file standards and compressing files;5;True or False;Compressing files removes redundant data from files.;TRUE;;;
567;57. Common file standards and compressing files;6;True or False;Compressed files cannot contain viruses.;FALSE;;;
568;57. Common file standards and compressing files;7;Multiple choice;Which of the following file formats is used for video?;MPEG;MP3;BMP;VIDE
569;57. Common file standards and compressing files;8;Multiple choice;Which of the following file formats is used for typed documents?;PDF;XLS;MP3;AVI
570;57. Common file standards and compressing files;9;True or False;PDF files are always larger in size than the original documents they come from.;FALSE;;;
571;57. Common file standards and compressing files;10;Multiple choice;Which of the following is not a valid reason for compressing files?;Reducing the amount of storage space they take up when decompressed again.;Reducing network transfer time.;Adding additional security to files.;Sending multiple files conveniently.
;Programming;;;;;;;
572;58. Algorithms in pseudocode and flow diagrams;1;True or False;When planning an algorithm using flowcharts, you can use any symbols you'd like.;FALSE;;;
573;58. Algorithms in pseudocode and flow diagrams;2;True or False;On a flowchart, decisions are represented using diamond shapes.;TRUE;;;
574;58. Algorithms in pseudocode and flow diagrams;3;True or False;Processes on a flowchart are represented using ovals.;FALSE;;;
575;58. Algorithms in pseudocode and flow diagrams;4;True or False;Pseudocode is used by the computer to know what an algorithm should do.;FALSE;;;
576;58. Algorithms in pseudocode and flow diagrams;5;True or False;There is not one main standard for pseudocode.;TRUE;;;
577;58. Algorithms in pseudocode and flow diagrams;6;True or False;The pseudocode INPUT SCORE describes that data inputted into the system should be stored in the variable SCORE.;TRUE;;;
578;58. Algorithms in pseudocode and flow diagrams;7;Multiple choice;In a flowchart input and output actions are represented by:;Parallelograms;Diamonds;Rectangles;Circles
579;58. Algorithms in pseudocode and flow diagrams;8;Multiple choice;The correct pseudocode for a loop that runs a set number of times is:;FOR;WHILE;REPEAT;LOOP
580;58. Algorithms in pseudocode and flow diagrams;9;True or False;Pseudocode is complex and should contain comments explaining the operation of the code.;FALSE;;;
581;58. Algorithms in pseudocode and flow diagrams;10;Multiple choice;On a flowchart, a decision will always have:;Two exit arrows;One exit arrow;Three exit arrows;Four exit arrows
582;59. High level code and machine code;1;True or False;High and low-level programming languages can be understood by a computer.;FALSE;;;
583;59. High level code and machine code;2;Multiple choice;An example of a high-level programming language is:;Python;Assembly;Machine code;Cloud
584;59. High level code and machine code;3;True or False;Low-level languages are more efficient that high-level ones.;TRUE;;;
585;59. High level code and machine code;4;True or False;Machine code uses the binary number system.;TRUE;;;
586;59. High level code and machine code;5;True or False;High-level languages need to be compiled into machine code before they can be used by a computer.;TRUE;;;
587;59. High level code and machine code;6;True or False;Machine code is easy to understand by a human.;FALSE;;;
588;59. High level code and machine code;7;True or False;The same machine code entered into one computer will be guaranteed to work on any other computer.;FALSE;;;
589;59. High level code and machine code;8;Multiple choice;What can be added to high-level program code to make it easier to understand?;Comments;Variables;Registers;Descriptions
590;59. High level code and machine code;9;Multiple choice;In a machine code instruction, the action to perform is known as the:;Opcode;Operand;Variable;Command
591;59. High level code and machine code;10;Multiple choice;Machine code can be represented in assembly language using:;Mnemonics;Pneumatics;Nomanics;Psychotics
592;60. Tour of an IDE;1;Multiple choice;An IDE checks programming code using a:;Debugger;Fault finder;Breakpoint;Compiler
593;60. Tour of an IDE;2;Multiple choice;Modern IDEs assist programmers by:;Automatically completing code;Writing programs for the user;Stopping any errors from being produced;Removing the need to write any code at all
594;60. Tour of an IDE;3;True or False;IDE is the abbreviation of integrated development environment.;TRUE;;;
595;60. Tour of an IDE;4;True or False;When debugging a program the user can add breakdots to pause the execution of the code at a certain point.;FALSE;;;
596;60. Tour of an IDE;5;True or False;IDEs are useful for programming complex solutions.;TRUE;;;
597;60. Tour of an IDE;6;True or False;IDEs can check the contents of any variable at any time.;TRUE;;;
598;60. Tour of an IDE;7;True or False;All programmers only use IDEs now.;FALSE;;;
599;60. Tour of an IDE;8;Multiple choice;Which of these does not use an IDE?;Machine code;Visual Basic;C#;Java
600;60. Tour of an IDE;9;True or False;There are never any free IDEs.;FALSE;;;
601;60. Tour of an IDE;10;True or False;IDEs are useful when designing form based applications.;TRUE;;;
602;61. Sequence in an algorithm;1;True or False;The order of instructions in a computer program is not important.;FALSE;;;
603;61. Sequence in an algorithm;2;True or False;Sequential programs execute in the same way every time.;TRUE;;;
604;61. Sequence in an algorithm;3;True or False;The order of sequential programs can be adjusted using IF statements.;FALSE;;;
605;61. Sequence in an algorithm;4;Multiple choice;Which of the following are not features of sequential programs?;Loops;Instructions;Comments;Variables
606;61. Sequence in an algorithm;5;Multiple choice;Which of the following pseudocode statements could be used in a sequential program?;count = count + 1;IF count > 5 THEN;WHILE count < 5;
607;61. Sequence in an algorithm;6;True or False;Sequential programs always produce outputs in the same order.;TRUE;;;
608;61. Sequence in an algorithm;7;Multiple choice;Which of the following is an example of a sequential program?;Production line;Computer game;Spreadsheet;Web browser
609;61. Sequence in an algorithm;8;True or False;The order in which sequential programs execute can be changed by the actions of a user.;FALSE;;;
610;61. Sequence in an algorithm;9;Multiple choice;What type of programs tend to be sequential in nature?;Control;Desktop;Mobile;Cloud
611;61. Sequence in an algorithm;10;True or False;There are never any sequential programs.;FALSE;;;
612;62. Selection in an algorithm;1;Multiple choice;Selection in a program is controlled by...;IF statements;WHILE loops;REPEAT loops;Arrays
613;62. Selection in an algorithm;2;Multiple choice;An IF statement is triggered by....;Conditions;Comments;Loops;Time
614;62. Selection in an algorithm;3;Multiple choice;Which of the following statements can be used to extend selection from a single IF statement?;ELSE;DO;CHOICE;ELK
615;62. Selection in an algorithm;4;Multiple choice;Which of the following is not a selection statement?;SPLIT;IF;ELSE;ELSE IF
616;62. Selection in an algorithm;5;True or False;Selection statements in programs can change the flow of control.;TRUE;;;
617;62. Selection in an algorithm;6;True or False;Selection in programs is useful to repeat blocks of code.;FALSE;;;
618;62. Selection in an algorithm;7;True or False;Selection in a flowchart is represented by a circle.;FALSE;;;
619;62. Selection in an algorithm;8;Multiple choice;Which of the following is an example of selection in pseudocode?;IF x < 10 THEN;WHEN x < 10;(x < 10) IF TRUE THEN;FOR x=0 TO 10
620;62. Selection in an algorithm;9;True or False;Selection conditions have only two outcomes, TRUE or FALSE.;TRUE;;;
621;62. Selection in an algorithm;10;Multiple choice;Which of the following are not selection statements?;FOR;IF;ELSE;SELECT CASE
622;63. Iteration, basic programming constructs and loops;1;True or False;Loops are used to repeat parts of a program;TRUE;;;
623;63. Iteration, basic programming constructs and loops;2;Multiple choice;Which of the following is not a type of loop?;IF;;;
624;63. Iteration, basic programming constructs and loops;3;True or False;Iteration is an alternative term for loop.;TRUE;;;
625;63. Iteration, basic programming constructs and loops;4;True or False;A WHILE loop is an example of a count-controlled loop.;FALSE;;;
626;63. Iteration, basic programming constructs and loops;5;Multiple choice;Which of the following is a count-controlled loop?;FOR;;;
627;63. Iteration, basic programming constructs and loops;6;True or False;A REPEAT loop will always execute at least once.;TRUE;;;
628;63. Iteration, basic programming constructs and loops;7;True or False;A WHILE loop will always execute at least once.;FALSE;;;
629;63. Iteration, basic programming constructs and loops;8;Multiple choice;What is used to control if a loop should run or not?;Condition;;;
630;63. Iteration, basic programming constructs and loops;9;Multiple choice;Which is the correct form of a FOR loop in pseudocode?;FOR i=0 TO 10;;;
631;63. Iteration, basic programming constructs and loops;10;Multiple choice;Which of the following loops will stop when x reaches 10?;WHILE x < 10;;;
632;64. Variables and constants;1;True or False;Variables cannot be changed.;FALSE;;;
633;64. Variables and constants;2;True or False;Constants cannot be changed.;TRUE;;;
634;64. Variables and constants;3;Multiple choice;Which of these values would be useful as a constant?;Pi;;;
635;64. Variables and constants;4;Multiple choice;Which of these values would be used as a variable?;Velocity;;;
636;64. Variables and constants;5;True or False;The value of a constant can be changed using an expression.;FALSE;;;
637;64. Variables and constants;6;True or False;Variable names can't start with a number.;TRUE;;;
638;64. Variables and constants;7;True or False;Variable names can include spaces.;FALSE;;;
639;64. Variables and constants;8;True or False;Some specific words can't be used as variables.;TRUE;;;
640;64. Variables and constants;9;Multiple choice;Which of the following variables names is an example of camel case?;totalScore;;;
641;64. Variables and constants;10;True or False;You cannot complete an expression that mixes variables and constants.;FALSE;;;
642;65. Data types;1;Multiple choice;Which of the following is not a data type?;Number;;;
643;65. Data types;2;True or False;Variables and constants in programs need to be assigned a data type.;TRUE;;;
644;65. Data types;3;Multiple choice;What data type would be best used to record the number of people at a party?;Integer;;;
645;65. Data types;4;Multiple choice;What data type would be best to record the exact length of a piece of string in meters?;Real;;;
646;65. Data types;5;True or False;Expressions cannot contain variables of different data types.;FALSE;;;
647;65. Data types;6;True or False;Integers cannot store negative numbers.;FALSE;;;
648;65. Data types;7;True or False;If you store a smaller number in an integer, (say 10 instead of 1234,) it will take up less memory.;FALSE;;;
649;65. Data types;8;True or False;Data types of variables can never be changed.;FALSE;;;
650;65. Data types;9;Multiple choice;What data type would be best used to record an email address?;String;;;
651;65. Data types;10;Multiple choice;What data type would be the answer to the expression x < 5?;Boolean;;;
652;66. Operations on numeric and Boolean data;1;Multiple choice;What would be the result of the expression 4 > 5?;FALSE;;;
653;66. Operations on numeric and Boolean data;2;Multiple choice;What would be the result of the expression (2 + 3) * 4?;20;;;
654;66. Operations on numeric and Boolean data;3;Multiple choice;What would be the result of the expression 2 + 3 * 4?;14;;;
655;66. Operations on numeric and Boolean data;4;True or False;In an AND statement both sides need to be TRUE to produce an output of TRUE.;TRUE;;;
656;66. Operations on numeric and Boolean data;5;True or False;In an OR statement both sides need to be TRUE to produce an output of TRUE.;FALSE;;;
657;66. Operations on numeric and Boolean data;6;Multiple choice;NOT TRUE is...;FALSE;;;
658;66. Operations on numeric and Boolean data;7;Multiple choice;The operator ** performs which mathematical function?;Power of;;;
659;66. Operations on numeric and Boolean data;8;Multiple choice;The operator // performs which mathematical function?;Floor division;;;
660;66. Operations on numeric and Boolean data;9;Multiple choice;Which mathematical rule do expression follow?;BODMAS;;;
661;66. Operations on numeric and Boolean data;10;True or False;Boolean data can be generated from numerical values.;TRUE;;;
662;67. Arrays;1;True or False;The first element in an array is always element 1.;FALSE;;;
663;67. Arrays;2;Multiple choice;Arrays always have the same...;data types;;;
664;67. Arrays;3;True or False;Arrays are collection of the same data type under a single identifier.;TRUE;;;
665;67. Arrays;4;True or False;Values in arrays cannot be changed.;FALSE;;;
666;67. Arrays;5;Multiple choice;The first and last elements of an array declared as scores[10] is...;scores[0], scores[9];;;
667;67. Arrays;6;True or False;myArray[0] + myArray[1] adds the first two values in an array together.;TRUE;;;
668;67. Arrays;7;True or False;Array elements can be used the same as any other variable.;TRUE;;;
669;67. Arrays;8;True or False;When an array is declared it will always be empty.;FALSE;;;
670;67. Arrays;9;True or False;The structure of an array cannot be changed once it is created.;FALSE;;;
671;67. Arrays;10;True or False;Loops are useful for cycling through an array.;TRUE;;;
672;68. Syntax and logic errors;1;True or False;Syntax errors are always spotted when the program is compiled or interpreted.;TRUE;;;
673;68. Syntax and logic errors;2;True or False;Logic errors are detected by the programming IDE being used.;FALSE;;;
674;68. Syntax and logic errors;3;Multiple choice;Which of these pseudocode statements is an example of a logic error?;FOR x=0 TO 10 STEP -1;FOR x=0 TO 10 STEP 1;FOR x=10 TO 0 STEP -1;FOR x=0 TOO 10 STEP 1
675;68. Syntax and logic errors;4;True or False;Syntax errors are caused by incorrectly typed source code.;TRUE;;;
676;68. Syntax and logic errors;5;True or False;A program won't run if there is a logic error.;FALSE;;;
677;68. Syntax and logic errors;6;Multiple choice;Which of these pseudocode statements contains a syntax error?;pounds = pence x 100;pounds = pence * 100;pounds = pence / 100;pounds = 100 / pence
678;68. Syntax and logic errors;7;True or False;Modern IDEs are able to spot syntax errors as the programmer types.;TRUE;;;
679;68. Syntax and logic errors;8;True or False;A program may never contain both syntax and logic errors.;FALSE;;;
680;68. Syntax and logic errors;9;Multiple choice;Which statement best describes logic errors?;An error in a program that causes it to produce incorrect ouputs but not a crash.;An error in a program that causes it to crash.;An error in the program caused by mis-spelt instructions.;An error in a program caused by hardware failure.
681;68. Syntax and logic errors;10;Multiple choice;Which of these expressions will generate a logic error when the expected output is 10?;answer = 2 + 3 * 2;answer = (2 + 3) * 2;answer = 2 + 3 x 2;answer = {2 + 3} * 2
682;69. Test data;1;Multiple choice;Which of the following is not a type of test data?;Check;Valid;Invalid;Borderline
683;69. Test data;2;True or False;Valid tests check that a program rejects incorrect input.;FALSE;;;
684;69. Test data;3;True or False;Borderline tests check the minumum and maximum values of an input.;TRUE;;;
685;69. Test data;4;True or False;Invalid testing checks to make sure that a program crashes when incorrect data is entered.;FALSE;;;
686;69. Test data;5;Multiple choice;Which of the following would not be used in a borderline test for a percentage?;50;0;100;
687;69. Test data;6;Multiple choice;Which of the following should be used to carry out an invalid test on the input of a person's age?;-10;10;110;0
688;69. Test data;7;Multiple choice;Which of the following would be used for a normal test of an input for the price of an item?;1,99;1,99;-5,12;10 pounds
689;69. Test data;8;True or False;You can only test inputs using one type of test data.;FALSE;;;
690;69. Test data;9;True or False;Valid test data should match the data type of the expected input.;TRUE;;;
691;69. Test data;10;True or False;You don't need to use invalid testing if you know the valid tests have passed.;FALSE;;;
692;70. Basic string manipulation;1;True or False;Strings can be treated as arrays of characters.;TRUE;;;
693;70. Basic string manipulation;2;Multiple choice;Which of the following is not a string function?;QUOTE;LENGTH;FIND;LEFT
694;70. Basic string manipulation;3;True or False;The LEFT function performed on a string will remove all charatcters on the left of a string.;FALSE;;;
695;70. Basic string manipulation;4;True or False;The FIND function will find all instances of a chosen character within a string.;FALSE;;;
696;70. Basic string manipulation;5;Multiple choice;Which of the following string functions would be useful to read a CSV file?;SPLIT;MID;RIGHT;LENGTH
697;70. Basic string manipulation;6;Multiple choice;"LENGTH(""password"") will return...";8;7;9;11
698;70. Basic string manipulation;7;Multiple choice;"FIND(""name@school.edu"", ""@"") will return";4;5;1;0
699;70. Basic string manipulation;8;Multiple choice;"RIGHT(""Hello world!"", 6) will return...";world!;World!;Hello;world
700;70. Basic string manipulation;9;True or False;String functions always replace the value of the exsisting string with the result.;FALSE;;;
701;70. Basic string manipulation;10;True or False;String functions can be used to detect user input errors.;FALSE;;;
702;71. Basic file handling operations;1;Multiple choice;Which of the following is not a method of opening files?;Replace;Append;Write;Read
703;71. Basic file handling operations;2;True or False;Opening a file with write access causes the contents of the file to removed first.;TRUE;;;
704;71. Basic file handling operations;3;True or False;Appending to a file means adding extra data into the file.;TRUE;;;
705;71. Basic file handling operations;4;Multiple choice;Which of the following needs to be used to provide access to the file throughout a program?;File descriptor;File writer;File changer;File type
706;71. Basic file handling operations;5;True or False;Files are used by programs to store data needed for later use.;TRUE;;;
707;71. Basic file handling operations;6;True or False;When writing to a file you cannot create new lines.;FALSE;;;
708;71. Basic file handling operations;7;Multiple choice;What is the last action that must be performed on a file?;Close;Save;End;Write
709;71. Basic file handling operations;8;Multiple choice;What is the data type of data read from a file?;String;Integer;Real;Boolean
710;71. Basic file handling operations;9;Multiple choice;Reading from a file often involves using...;A loop;An condition;Comments;
711;71. Basic file handling operations;10;True or False;Appending data to a file places it at the start of the file.;FALSE;;;
